elapsed_s,iters,behaviors,fingerprints,since_new_behavior,corpus_size,solver_invocations,solver_seeds
14.95,7221,12,4,7113,4,0,0
15.201,7368,12,4,7260,4,0,0
15.452,7507,12,4,7399,4,0,0
15.704,7649,12,4,7541,4,0,0
15.956,7778,12,4,7670,4,0,0
16.206,7907,12,4,7799,4,0,0
16.457,8034,12,4,7925,4,0,0
16.707,8168,12,4,8059,4,0,0
16.959,8304,12,4,8195,4,0,0
17.21,8439,12,4,8330,4,0,0
17.461,8574,12,4,8465,4,0,0
17.712,8708,12,4,8599,4,0,0
17.962,8838,12,4,8728,4,0,0
18.214,8967,12,4,8857,4,0,0
18.465,9098,12,4,8988,4,0,0
18.715,9228,12,4,9118,4,0,0
18.966,9366,12,4,9256,4,0,0
19.217,9496,12,4,9386,4,0,0
19.47,9626,12,4,9515,4,0,0
19.721,9735,12,4,9624,4,0,0
19.973,9873,12,4,9762,4,0,0
20.223,10011,12,4,9900,4,0,0
20.475,10149,12,4,10034,4,0,0
20.726,10284,12,4,10169,4,0,0
20.977,10417,12,4,10301,4,0,0
21.228,10548,12,4,10432,4,0,0
21.479,10680,12,4,10564,4,0,0
21.729,10813,12,4,10697,4,0,0
21.983,10951,12,4,10835,4,0,0
22.234,11069,12,4,10953,4,0,0
22.487,11182,12,4,11065,4,0,0
22.738,11294,12,4,11177,4,0,0
22.989,11426,12,4,11309,4,0,0
23.24,11561,12,4,11444,4,0,0
23.49,11691,12,4,11574,4,0,0
23.74,11819,12,4,11701,4,0,0
23.992,11936,12,4,11818,4,0,0
24.243,12049,12,4,11931,4,0,0
24.494,12175,12,4,12057,4,0,0
24.745,12306,12,4,12188,4,0,0
24.995,12440,12,4,12322,4,0,0
25.245,12571,12,4,12452,4,0,0
25.496,12703,12,4,12584,4,0,0
25.747,12838,12,4,12719,4,0,0
25.998,12958,12,4,12839,4,0,0
26.25,13081,12,4,12962,4,0,0
26.501,13202,12,4,13083,4,0,0
26.751,13335,12,4,13215,4,0,0
27.002,13464,12,4,13344,4,0,0
27.252,13598,12,4,13478,4,0,0
27.504,13727,12,4,13607,4,0,0
27.756,13853,12,4,13733,4,0,0
28.006,13978,12,4,13858,4,0,0
28.257,14112,12,4,13991,4,0,0
28.507,14245,12,4,14124,4,0,0
28.759,14380,12,4,14259,4,0,0
29.01,14520,12,4,14399,4,0,0
29.261,14662,12,4,14541,4,0,0
29.512,14792,12,4,14671,4,0,0
29.764,14910,12,4,14788,4,0,0
30.014,15043,12,4,14921,4,0,0
30.265,15175,12,4,15053,4,0,0
30.517,15291,12,4,15169,4,0,0
30.768,15402,12,4,15280,4,0,0
31.02,15520,12,4,15398,4,0,0
31.271,15634,12,4,15511,4,0,0
31.522,15750,12,4,15627,4,0,0
31.775,15871,12,4,15748,4,0,0
32.027,15978,12,4,15855,4,0,0
32.278,16101,12,4,15978,4,0,0
32.531,16223,12,4,16100,4,0,0
32.781,16341,12,4,16217,4,0,0
33.031,16463,12,4,16339,4,0,0
33.281,16590,12,4,16466,4,0,0
33.532,16720,12,4,16596,4,0,0
33.784,16845,12,4,16721,4,0,0
34.035,16963,12,4,16839,4,0,0
34.287,17081,12,4,16956,4,0,0
34.538,17211,12,4,17086,4,0,0
34.79,17335,12,4,17210,4,0,0
35.04,17448,12,4,17323,4,0,0
35.292,17586,12,4,17461,4,0,0
35.542,17718,12,4,17593,4,0,0
35.794,17849,12,4,17723,4,0,0
36.044,17974,12,4,17848,4,0,0
36.296,18105,12,4,17979,4,0,0
36.547,18235,12,4,18109,4,0,0
36.799,18360,12,4,18234,4,0,0
37.05,18488,12,4,18362,4,0,0
37.3,18619,12,4,18492,4,0,0
37.551,18751,12,4,18624,4,0,0
37.803,18878,12,4,18751,4,0,0
38.053,19015,12,4,18888,4,0,0
38.304,19147,12,4,19020,4,0,0
38.556,19289,12,4,19162,4,0,0
38.808,19424,12,4,19296,4,0,0
39.06,19553,12,4,19425,4,0,0
39.311,19686,12,4,19558,4,0,0
39.562,19815,12,4,19687,4,0,0
39.813,19929,12,4,19801,4,0,0
40.065,20036,12,4,19908,4,0,0
40.315,20150,12,4,20021,4,0,0
40.567,20265,12,4,20136,4,0,0
40.819,20375,12,4,20246,4,0,0
41.07,20489,12,4,20360,4,0,0
